destination_id,name,district,province,latitude,longitude,category,estimated_daily_cost_usd,recommended_duration_hours,crowd_level,beach,wildlife,hiking,nature,culture,history,adventure,fitness_requirement,family_suitability,best_months
SL001,Sigiriya,Matale,Central,7.9571,80.7573,Heritage,45,4,5,0,2,4,4,5,5,4,4,4,Jan-Apr|Jul-Sep
SL002,Kandy,Kandy,Central,7.2931,80.6350,Culture,40,6,5,0,1,1,3,5,5,1,2,5,Jan-Apr|Dec
SL003,Ella,Badulla,Uva,6.8736,81.0490,Nature,45,8,5,0,2,5,5,2,1,5,4,4,Jan-Mar|Jun-Sep
SL004,Yala National Park,Hambantota,Southern,6.3728,81.5169,Wildlife,70,6,4,0,5,1,5,1,0,4,2,4,Jun-Sep
SL005,Mirissa,Matara,Southern,5.9494,80.4558,Beach,50,8,5,5,4,1,4,2,1,4,2,5,Nov-Apr
SL006,Galle Fort,Galle,Southern,6.0305,80.2169,Heritage,50,6,5,3,0,1,2,5,5,2,2,5,Dec-Apr
SL007,Nuwara Eliya,Nuwara Eliya,Central,6.9740,80.7670,Nature,50,8,4,0,1,3,5,3,3,3,2,5,Feb-May
SL008,Horton Plains National Park,Nuwara Eliya,Central,6.8030,80.7915,Hiking,45,5,4,0,4,5,5,1,1,4,4,3,Jan-Mar
SL009,Arugam Bay,Ampara,Eastern,6.8504,81.8367,Beach,45,8,4,5,2,1,4,2,1,5,3,4,May-Sep
SL010,Anuradhapura,Anuradhapura,North Central,8.3350,80.4106,Heritage,40,8,4,0,1,2,3,5,5,2,3,5,Jan-Mar|Jun-Sep
SL011,Polonnaruwa,Polonnaruwa,North Central,7.9395,81.0003,Heritage,40,7,4,0,2,2,4,5,5,3,3,5,Jan-Mar|Jun-Sep
SL012,Dambulla Cave Temple,Matale,Central,7.8566,80.6484,Heritage,35,3,4,0,1,4,3,5,5,3,4,4,Jan-Apr|Jun-Sep
SL013,Trincomalee,Trincomalee,Eastern,8.5764,81.2345,Culture,45,8,4,4,4,1,4,5,4,4,2,5,May-Sep
SL014,Nilaveli Beach,Trincomalee,Eastern,8.6815,81.1916,Beach,45,7,4,5,3,1,4,1,1,4,2,5,May-Sep
